GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qulice-checkstyle/qulice-spi,com.qulice.spi,Environment.Mock,252,0,24,0,60,0,29,0,17,0
qulice-checkstyle/qulice-spi,com.qulice.spi,Violation.Default,247,0,44,0,15,0,32,0,10,0
qulice-checkstyle/qulice-spi,com.qulice.spi,ValidationException,10,0,0,0,4,0,2,0,2,0
